,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",4310896,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
2,Happier,Marshmello,3943796,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
3,"I Love It (& Lil Pump)","Kanye West",3467546,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
4,"Falling Down","Lil Peep",3096079,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
5,"Promises (with Sam Smith)","Calvin Harris",2929002,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
6,"Eastside (with Halsey & Khalid)","benny blanco",2805842,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
7,"In My Mind",Dynoro,2712101,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
8,"SICKO MODE","Travis Scott",2455450,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
9,"Lucid Dreams","Juice WRLD",2392886,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
10,"In My Feelings",Drake,2344101,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
11,Better,Khalid,2310734,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
12,"Be Alright","Dean Lewis",2254073,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
13,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",2211329,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
14,"Without Me",Halsey,2164224,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
15,SAD!,XXXTENTACION,2125601,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,Moonlight,XXXTENTACION,2091456,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
17,"Girls Like You (feat. Cardi B)","Maroon 5",2091376,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,Shallow,"Lady Gaga",2060463,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
19,STOOPID,6ix9ine,2029284,https://open.spotify.com/track/1jQvUmf16VE9WQCPuK2e8K
20,BEBE,6ix9ine,1936229,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
21,"Vaina Loca",Ozuna,1928626,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
22,"Electricity (with Dua Lipa)","Silk City",1854044,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
23,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1813276,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
24,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",1809337,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
25,"Mo Bamba","Sheck Wes",1807717,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
26,"This Feeling","The Chainsmokers",1805594,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
27,Natural,"Imagine Dragons",1788911,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
